"RG","TG","COEF","RE"
"XAGE1B_ATP2A3","XAGE1B","ATP2A3",-0.00308462574342544,0.00427990842491901
"TXNIP_PCSK9","TXNIP","PCSK9",5.94798308746866e-05,0.000351722587739398
"ITGB2_CFB","ITGB2","CFB",0.00208239598688919,0.0020192405871991
"GNG11_ELMO1","GNG11","ELMO1",-0.00543456321697158,0.00626598330823076
"KRAS_GPRC5B","KRAS","GPRC5B",0.0619444298916706,0.272986841862282
"TSPAN7_DDR2","TSPAN7","DDR2",0.0220548056968761,0.0276151973096784
"ITGA6_CST3","ITGA6","CST3",0.00197216617029637,0.0118974014274486
"EIF1AY_RBM47","EIF1AY","RBM47",-0.0658059934469286,0.0842555181801888
"MGP_FSTL1","MGP","FSTL1",0.0198245621246116,0.0128071115524397
"ZSCAN18_CD82","ZSCAN18","CD82",-0.126956111642047,0.17400797991806
"PLTP_FOLR1","PLTP","FOLR1",0.0619899183389285,0.168019163206926
"PIK3R3_UCHL1","PIK3R3","UCHL1",-0.00309502837297244,0.00764584110221681
"LAYN_FGF1","LAYN","FGF1",0.0308234472595974,0.0232209702197036
"MYEOV_SQOR","MYEOV","SQOR",0.0241629306299165,0.111302491217106
"IGFBP5_LAD1","IGFBP5","LAD1",-0.0224199756035761,0.0325740192924262
"PAPSS2_BASP1","PAPSS2","BASP1",0.297652263856102,0.821754893611431
"ID3_CREB3L1","ID3","CREB3L1",-0.000308230076418856,0.0019062935139618
"ICAM2_TMEM139","ICAM2","TMEM139",0.0697325858139041,0.104584976703793
"ITGA4_DDR2","ITGA4","DDR2",0.0594529291850433,0.0229674366542466
"IL1B_LAT2","IL1B","LAT2",1.1737301264078e-05,1.31891465041658e-05
"LAT2_LMNA","LAT2","LMNA",-0.101050322554132,0.130648818354041
"LDOC1_WNT3A","LDOC1","WNT3A",0.00439692246739673,0.00292132995655496
"WNT3A_TMSB15A","WNT3A","TMSB15A",0.0360110509190512,0.00358945119971195
"MT1E_FGFBP1","MT1E","FGFBP1",0.250138177235453,0.893474804221079
"FGF4_CTHRC1","FGF4","CTHRC1",0.368157065361738,0.0650750969020846
"FABP5_SELENOM","FABP5","SELENOM",0.207541470346631,1.47344227986272
"CD79B_TPD52L1","CD79B","TPD52L1",-0.130184480757855,0.0338132240583922
"HGF_LUM","HGF","LUM",0.497945221402048,0.200757571087123
"COL16A1_E2F2","COL16A1","E2F2",0.0313156218877601,0.0609915725721277
"TMEM30B_ITGA2","TMEM30B","ITGA2",0.0964700633968146,0.309987805673468
"TFPI_HSPA1A","TFPI","HSPA1A",0.011087220109626,0.0371033858612142
"SERPINA3_MAGEA4","SERPINA3","MAGEA4",0.0154407902348743,0.0200659315524232
"AMIGO2_GRB2","AMIGO2","GRB2",-0.133195223625313,0.368721943666532
"POLK_CASP4","POLK","CASP4",0.0750650101074935,0.236027011881986
"TCF7_FGF18","TCF7","FGF18",0.0240686364766139,0.0746100702093473
"FZD4_SLC6A15","FZD4","SLC6A15",-0.0117370664331223,0.0196412597438245
"GABRE_IFITM2","GABRE","IFITM2",0.0746873118190676,0.0818056867001518
"PLEK_CD79B","PLEK","CD79B",0.00673542816022271,0.000643050335683374
"DSG2_FXYD3","DSG2","FXYD3",0.159418505691323,0.879846013699971
"KRT4_HLA.F","KRT4","HLA.F",-0.0747196385952551,0.0787545722232735
"GSTP1_IL13RA2","GSTP1","IL13RA2",-0.0040207556049323,0.0370544916990451
"MFAP2_MLLT11","MFAP2","MLLT11",0.0580696604749957,0.129884590194707
"FOXA1_SYT11","FOXA1","SYT11",0.0394103168600394,0.116877072916218
"CPNE7_TNNT1","CPNE7","TNNT1",-0.0369155754969272,0.131902332807695
"WNT2B_PDLIM4","WNT2B","PDLIM4",-0.049179306056523,0.0349733499614329
"JAM3_PPP1R14A","JAM3","PPP1R14A",0.123093507073015,0.191133762446826
"HENMT1_SYTL2","HENMT1","SYTL2",0.0245304329079091,0.0645729765823858
"LEF1_RAB32","LEF1","RAB32",-0.0148765099827609,0.0239602750496982
"LBH_KRT80","LBH","KRT80",0.135527776660964,0.265727109911131
"PSCA_DVL2","PSCA","DVL2",-0.0158057335801583,0.0376360794621323
"CYBRD1_CTSF","CYBRD1","CTSF",0.192049028450318,0.381450800230606
"SPOCD1_SPOCK1","SPOCD1","SPOCK1",0.722941871162479,0.688145040269358
"HSPG2_FZD9","HSPG2","FZD9",-0.00295291284608372,0.0147068777152293
"FZD5_MMP2","FZD5","MMP2",-0.0206047984882097,0.0568723720511543
"CRIP2_FLNC","CRIP2","FLNC",-0.00720006839700962,0.032171609157654
"MAGEA2B_SERPINF1","MAGEA2B","SERPINF1",0.198735407226338,0.39209075591649
"PHGDH_PRRX1","PHGDH","PRRX1",-0.0276843512886722,0.155925027486576
"SYTL2_DEFB1","SYTL2","DEFB1",-0.0248810858463451,0.081486757134589
"SLFN11_PTGES","SLFN11","PTGES",0.0325810451965359,0.0472308642131717
"GULP1_LBH","GULP1","LBH",0.00452249211932625,0.016558120894609
"TNNT1_BEX1","TNNT1","BEX1",-0.0236804484023198,0.107628780919983
"ANXA8_LIMCH1","ANXA8","LIMCH1",0.0600394009615872,0.103520799300346
"BCAM_PALLD","BCAM","PALLD",0.0758441259626806,0.330238853874957
"ALOX5AP_SLC7A8","ALOX5AP","SLC7A8",0.113288453698895,0.0369407377495622
"CXCL8_CYBA","CXCL8","CYBA",-0.0075446251286506,0.0227618672196061
"AKT2_ELMO1","AKT2","ELMO1",0.00467180519774888,0.0277114295135345
"CRIP2_MSLN","CRIP2","MSLN",0.24874873385098,1.11146819761306
"GAS6_TRIB2","GAS6","TRIB2",0.111880958082886,0.501082598649815
"CFB_MZB1","CFB","MZB1",0.0174085139368951,0.0539836051562679
"HOXB2_VIM","HOXB2","VIM",0.145596086370781,0.208174177507697
"FXYD2_GALNT14","FXYD2","GALNT14",0.507017319002408,0.20119839113043
"CASP1_VAMP8","CASP1","VAMP8",0.156178298266045,0.261024992844967
"PCSK9_AXIN2","PCSK9","AXIN2",-0.109501712786666,0.385494772421139
"ZSCAN18_UCHL1","ZSCAN18","UCHL1",0.18599344071872,0.254925442177414
"TRO_CREB3L1","TRO","CREB3L1",-0.0176872463091154,0.00760028741755224
"MAP7_MSRB3","MAP7","MSRB3",-0.0843486690483704,0.317889478804274
"SLC6A15_NRN1","SLC6A15","NRN1",0.0713118478763415,0.0367594486478147
"NCAM1_MLLT11","NCAM1","MLLT11",0.219959532887556,0.191335551058231
"CTAG2_CD74","CTAG2","CD74",-0.0519201349285326,0.0869606248782309
"CNRIP1_CDK2","CNRIP1","CDK2",0.0403150423596468,0.0153155998978529
"YAP1_LAMA5","YAP1","LAMA5",-0.0170761857370379,0.09835687833493
"REG4_TFF3","REG4","TFF3",0.202460239193702,0.525833625835958
"BAK1_DVL3","BAK1","DVL3",0.0205837532081555,0.0962134143817538
"COL4A2_STEAP1","COL4A2","STEAP1",0.0749852913584588,0.147929378744913
"MGST1_TM4SF1","MGST1","TM4SF1",0.310881519664204,2.15735124663917
"SYTL1_RGL3","SYTL1","RGL3",0.14829963498666,0.500382995019278
"KRT80_PXDN","KRT80","PXDN",0.0533699898983829,0.184954228098567
"FADS2_CAV2","FADS2","CAV2",0.00287246095762083,0.00864616334266616
"FGF22_KRT81","FGF22","KRT81",-0.0397932460761168,0.00938420699448821
"BAK1_CORO1A","BAK1","CORO1A",-0.00189366940560954,0.00885146636677376
"NREP_SHC1","NREP","SHC1",-0.0130251201253446,0.0304639589543853
"PLOD2_FZD6","PLOD2","FZD6",0.0196913718243717,0.0521667778652684
"SPON2_CTNNB1","SPON2","CTNNB1",-0.0595887965572457,0.116780170652742
"UCHL1_SMARCA1","UCHL1","SMARCA1",0.0783772546364786,0.22616374110083
"HKDC1_RXRA","HKDC1","RXRA",0.00506150319694177,0.0141139467280074
"UGT1A6_PTGR1","UGT1A6","PTGR1",0.111980891568501,0.41979201804902
"PALLD_PNMA2","PALLD","PNMA2",0.126362819054241,0.504571910283809
"NREP_CLDN4","NREP","CLDN4",-0.0186640127157662,0.0436525507500596
"AC004556.3_SLC2A3","AC004556.3","SLC2A3",-0.0308545979382006,0.0500674186681417
"CDKN2B_CPE","CDKN2B","CPE",-0.195954806301754,0.484705740285401
"APOBEC3B_FCGRT","APOBEC3B","FCGRT",-0.131136789729671,0.475800211525984
"TCEAL9_FAM20C","TCEAL9","FAM20C",0.0835854513650176,0.402938326785187
"F2R_MT1E","F2R","MT1E",0.872558686510324,1.91434551621162
