"RG","TG","COEF","RE"
"LPXN_EPB41L3","LPXN","EPB41L3",-0.0398664330693213,0.169271756228353
"IL13RA2_KRT4","IL13RA2","KRT4",0.00575725266578854,0.0105604197420923
"MRC2_NID1","MRC2","NID1",0.122114471219811,0.865965221765204
"KYNU_LSR","KYNU","LSR",0.00395232305062819,0.00337682761403883
"PLOD2_FZD10","PLOD2","FZD10",-0.00127817438522768,0.00926849306726214
"TSPAN8_RAB32","TSPAN8","RAB32",0.0400309428687717,0.0229907526603445
"IER3_STMN3","IER3","STMN3",-0.00490902663244308,0.0346780935909812
"CSNK1A1_FGFR2","CSNK1A1","FGFR2",0.114760640450406,0.775874573116142
"CXCL2_TSPAN8","CXCL2","TSPAN8",0.00511776643624805,0.0100004987685204
"BAX_CMBL","BAX","CMBL",0.0708679295735848,0.56464044905574
"SPN_CD70","SPN","CD70",0.230479661018348,0.017070857460392
"RNF128_RFTN1","RNF128","RFTN1",-0.039203271111992,0.0455927021661994
"POSTN_TIMP3","POSTN","TIMP3",0.0859058926050432,0.530982109032731
"POU2AF1_SULF2","POU2AF1","SULF2",0.0252589833363036,0.00312510636567484
"PMEL_UCP2","PMEL","UCP2",0.0165084565794342,0.0186722506216921
"EPS8L1_DAB2","EPS8L1","DAB2",-0.0162977147717389,0.0295068106359842
"ALDH2_MFAP4","ALDH2","MFAP4",0.0781066324973682,0.350952889243646
"FOSL1_CD53","FOSL1","CD53",-0.00818851531527705,0.055444128935108
"FGF19_TNNT1","FGF19","TNNT1",0.152972382918872,0.00287108827364153
"ANXA1_TRIM22","ANXA1","TRIM22",0.0359002342275697,0.350426543263019
"C3_AKR1B10","C3","AKR1B10",0.152715417739291,0.379518379488208
"CHGB_CFI","CHGB","CFI",0.108549916625321,0.0390533779089086
"SLC17A9_CPE","SLC17A9","CPE",-0.00149854551415027,0.00471857791458156
"BAX_FZD5","BAX","FZD5",-0.0031703952024006,0.0252601336251665
"PDLIM1_SYTL2","PDLIM1","SYTL2",0.0161502307879144,0.101286497293953
"CD74_CDCP1","CD74","CDCP1",0.241902424191526,0.570781253086405
"SCG5_KRT19","SCG5","KRT19",-0.295549434248637,1.20637206475897
"FSCN1_P3H3","FSCN1","P3H3",0.0219726428172534,0.155013157993651
"LAPTM4B_IGFBP3","LAPTM4B","IGFBP3",-0.4552219646189,2.57470074169305
"SELENOM_CHMP4C","SELENOM","CHMP4C",-0.111851253183751,0.780698220023323
"NFATC4_PRTFDC1","NFATC4","PRTFDC1",-0.00590804280401796,0.029935005360514
"TFAP2C_DUSP4","TFAP2C","DUSP4",0.283475007889848,0.212390959623645
"HLA.DQA1_CD68","HLA.DQA1","CD68",-0.0482826964583778,0.0106648465342836
"SNCG_PNMA2","SNCG","PNMA2",-0.0182340883549206,0.0529930802783861
"TNFRSF11B_OAS1","TNFRSF11B","OAS1",-0.0660135260315987,0.443143203828571
"CD9_PPARG","CD9","PPARG",0.148549191826143,1.12246661021269
"WNT2B_TFAP2C","WNT2B","TFAP2C",0.240933758463898,0.255546441680919
"TRO_TMEM30B","TRO","TMEM30B",-0.100602865384371,0.30540862303879
"SERPINB1_FABP5","SERPINB1","FABP5",-0.0244206372538108,0.104599060473099
"KRT19_WNT7B","KRT19","WNT7B",0.00446784142694708,0.021522225540611
"CDA_NCKAP1L","CDA","NCKAP1L",-0.000120909317205414,0.000295458010257693
"PLOD2_PLAAT3","PLOD2","PLAAT3",0.0842159088106724,0.610679243760512
"TCF7L1_COL3A1","TCF7L1","COL3A1",0.00546547869400435,0.0160024013630186
"GSTM2_MYC","GSTM2","MYC",-0.0218114974147144,0.108412046182925
"MUC1_EPDR1","MUC1","EPDR1",0.109222530392273,0.364574926404293
"C3orf14_PCDH1","C3orf14","PCDH1",-0.0717916255284343,0.279779474547864
"USP41_CXCL2","USP41","CXCL2",0.160882412187645,0.424417785435975
"MYEOV_CRIP2","MYEOV","CRIP2",-0.153402534991691,0.47759345780659
"HLA.F_DDB2","HLA.F","DDB2",0.000591979620918541,0.00200377766212343
"CCL5_MAPK3","CCL5","MAPK3",0.0201278769253866,0.0122941761477464
"AKR1C3_FAM114A1","AKR1C3","FAM114A1",0.0137075323058785,0.0443453176851879
"CD82_TGFBI","CD82","TGFBI",-0.053812470318083,0.262746467838769
"SPART_SMAD2","SPART","SMAD2",0.0268663214392715,0.148695947116007
"PLK2_MFAP5","PLK2","MFAP5",-0.17413351315265,1.02410901753327
"LOXL2_IL13RA2","LOXL2","IL13RA2",0.00035566587058068,0.00308357013009323
"APOBEC3B_ITM2A","APOBEC3B","ITM2A",0.00345647492225576,0.0132418389745139
"EREG_H1.0","EREG","H1.0",0.0114328283543781,0.0225378872309555
"RXRG_ELMO1","RXRG","ELMO1",-0.0563550588080478,0.00120803514722969
"NCAM1_SPP1","NCAM1","SPP1",0.0086270114272044,0.00691561122882587
"CSAG3_EGF","CSAG3","EGF",0.0962313842323087,0.00938018786085871
"SERINC2_TXNIP","SERINC2","TXNIP",6.81051216326204e-05,0.000423075299879671
"ALDH2_TNFRSF21","ALDH2","TNFRSF21",0.164704058431502,0.740057064662691
"IFITM2_NQO1","IFITM2","NQO1",0.0746582056327473,0.619346213487906
"FGF22_TFF3","FGF22","TFF3",0.00244083735987059,0.000418924811039104
"RAI14_E2F3","RAI14","E2F3",0.00103740516493427,0.00672318705288703
"C12orf75_KRT16","C12orf75","KRT16",-0.129461329797105,1.04807193057198
"BST2_LOXL4","BST2","LOXL4",-0.0849030537274296,0.247080656654492
"TMEM98_MFGE8","TMEM98","MFGE8",0.00177389458811135,0.0108377139748304
"BMERB1_PTPRF","BMERB1","PTPRF",-0.0570370820289625,0.300274074265263
"TSPAN13_FBXO17","TSPAN13","FBXO17",-0.010039766605407,0.0358904054285404
"CCNE1_MTOR","CCNE1","MTOR",0.0107102158524253,0.0308124162529516
"MAP2K1_KRT15","MAP2K1","KRT15",0.0772065379333431,0.447733910505704
"PLTP_MXRA7","PLTP","MXRA7",-0.0485047914547942,0.201361561079566
"CTNNA3_LAT2","CTNNA3","LAT2",-0.00800476260828877,0.000112669107156888
"WNT4_COCH","WNT4","COCH",0.363428101685939,0.05893903324172
"WNT2_TFPI","WNT2","TFPI",-0.0393726184222333,0.0539712209410065
"HPGD_ADGRF1","HPGD","ADGRF1",0.11455616528993,0.0415390219664331
"LGALS3_PCOLCE","LGALS3","PCOLCE",0.0182556077157022,0.138987945783789
"IL13RA2_MOXD1","IL13RA2","MOXD1",0.000286502242692486,0.000525525648346552
"TNFRSF21_IL32","TNFRSF21","IL32",0.0128351115880347,0.0398392757092297
"ITGB2_PTPRM","ITGB2","PTPRM",0.0342844612393379,0.0444869798326584
"ALDH2_XAF1","ALDH2","XAF1",0.0177251282126072,0.0796434919741056
"HSPA1A_COL5A1","HSPA1A","COL5A1",0.0380125129060115,0.230794036035615
"RGL3_SERINC2","RGL3","SERINC2",0.0524200636988353,0.100566062434299
"RBP1_MMP14","RBP1","MMP14",-0.0155822348319101,0.0346382678460069
"BEX4_CTAG2","BEX4","CTAG2",-0.000673065435688467,0.00231420565053839
"LAT2_S100A4","LAT2","S100A4",-0.187916231969597,0.189119313285577
"EGF_RAB34","EGF","RAB34",-3.25249735611669e-05,3.55793403701621e-05
"F3_PRSS23","F3","PRSS23",-0.0070418780964734,0.045265226851087
"CDA_SPOCK1","CDA","SPOCK1",0.0218531823371458,0.0534011598143616
"FZD5_PTPRC","FZD5","PTPRC",-0.0263964354206921,0.0227859928266417
"CYFIP2_TGFBR2","CYFIP2","TGFBR2",-0.0500729507192302,0.121285330689733
"LRP5_FRAT1","LRP5","FRAT1",-0.0421392054241643,0.185051002948612
"FOXA1_TRIP6","FOXA1","TRIP6",-0.0103906539113636,0.00382954716300177
"TNNT1_ALOX5AP","TNNT1","ALOX5AP",0.0915140121023042,0.186099327974725
"CAV2_CRIP2","CAV2","CRIP2",-0.0120440546389981,0.0848685374536847
"FGF8_FGF18","FGF8","FGF18",0.027111978813958,0.00193219100108235
"CALB2_SOS2","CALB2","SOS2",-0.0223248251589157,0.0189696700385571
"LIMCH1_TERT","LIMCH1","TERT",-0.0895301821170734,0.330345884686342
"CDX2_STRA6","CDX2","STRA6",-0.148828125567761,0.00457649040908573
"MUC20_KRT13","MUC20","KRT13",0.00118493456319593,0.000920377134690627
"PRSS21_EPB41L3","PRSS21","EPB41L3",0.154831968340209,0.0425561815735664
"IL32_HLA.DPB1","IL32","HLA.DPB1",0.0876144315199112,0.371571669201811
"MALL_NRCAM","MALL","NRCAM",0.0715580934911239,0.255241711828259
"GRB2_GJB3","GRB2","GJB3",-0.000836030679240152,0.00469769809864714
"HSPB8_FGF5","HSPB8","FGF5",0.0707409493369945,0.304801665859827
"FGF8_LYPD3","FGF8","LYPD3",0.0180591503542421,0.00128702253867562
"SDC1_CALD1","SDC1","CALD1",-0.151727993836598,0.76560933352507
"WLS_KRT19","WLS","KRT19",-0.100533926774195,0.635023139406299
"TSTD1_PDZK1IP1","TSTD1","PDZK1IP1",0.000796704247674427,0.00162167881640841
"VGF_LARP6","VGF","LARP6",0.100855949281937,0.0319927937617944
"VSIR_CCN1","VSIR","CCN1",0.00931814240447941,0.0435061616666306
"WNT10A_CFI","WNT10A","CFI",-0.0230563874084893,0.0031400124799133
"HLA.DMA_ASS1","HLA.DMA","ASS1",0.144168086716133,0.355418095766898
"CCN1_PRTFDC1","CCN1","PRTFDC1",0.0340871590352924,0.315522473573207
"NRN1_MUC13","NRN1","MUC13",0.0490577812077535,0.0863990192794456
"MUC13_BIRC3","MUC13","BIRC3",0.0281463963104625,0.00785818564628765
"MAP2K2_MAPK3","MAP2K2","MAPK3",0.0258597461183502,0.174971624686364
"GSTM2_MACROH2A2","GSTM2","MACROH2A2",-0.122881002096278,0.610768743702977
"SHC1_ZSCAN18","SHC1","ZSCAN18",0.0956728440814184,0.737327860408753
